"Theo Aristotle, lực đóng vai trò gì đối với chuyển động của một vật?",Aristotle cho rằng lực là nguyên nhân gây ra chuyển động và để duy trì chuyển động của một vật thì cần phải có lực tác dụng liên tục lên nó.
"Trong thí nghiệm của Galileo, tại sao hòn bi khi lăn lên máng nghiêng $2$ lại không đạt được độ cao ban đầu?",Hòn bi không đạt được độ cao ban đầu vì có sự xuất hiện của lực ma sát giữa hòn bi và bề mặt máng nghiêng.
Galileo đã dự đoán điều gì nếu máng nghiêng $2$ nằm ngang và không có ma sát?,Ông dự đoán rằng hòn bi sẽ lăn mãi mãi với vận tốc không đổi trên mặt phẳng nằm ngang đó.
Kết luận quan trọng nhất của Galileo về mối quan hệ giữa lực và chuyển động là gì?,"Lực không phải là nguyên nhân duy trì chuyển động; nếu không có lực cản, một vật đang chuyển động sẽ tiếp tục chuyển động thẳng đều."
Nhà vật lý nào đã khái quát kết quả nghiên cứu của Galileo thành định luật chuyển động vào năm $1687$?,Nhà vật lý người Anh Isaac Newton đã khái quát và phát triển các ý tưởng này thành Định luật $1$ Newton.
Nội dung của Định luật $1$ Newton đối với một vật đang đứng yên là gì?,"Nếu một vật không chịu tác dụng của lực nào hoặc chịu tác dụng của các lực có hợp lực bằng $0$, thì vật đang đứng yên sẽ tiếp tục đứng yên."
Nội dung của Định luật $1$ Newton đối với một vật đang chuyển động là gì?,"Nếu một vật không chịu tác dụng của lực nào hoặc chịu tác dụng của các lực có hợp lực bằng $0$, thì vật đang chuyển động sẽ tiếp tục chuyển động thẳng đều."
Định luật $1$ Newton còn có tên gọi khác là gì?,Định luật $1$ Newton còn được gọi là định luật quán tính.
Quán tính là gì?,Quán tính là tính chất bảo toàn trạng thái đứng yên hay chuyển động của vật.
Tại sao con tàu vũ trụ Voyager có thể tiếp tục rời xa Trái Đất dù thực tế không còn lực nào tác dụng lên chúng?,"Do quán tính, khi không còn lực tác dụng, tàu vũ trụ duy trì trạng thái chuyển động thẳng đều với vận tốc đã có từ trước."
Tại sao một quả cầu treo vào một sợi dây lại đứng yên?,Quả cầu đứng yên vì nó chịu tác dụng của hai lực cân bằng (trọng lực và lực căng dây) có hợp lực bằng $0$.
Tại sao người trượt ván có thể giữ nguyên vận tốc của mình trên mặt đường phẳng lý tưởng?,"Khi hợp lực của các lực tác dụng lên người và ván bằng $0$ (lực đẩy cân bằng với lực cản), vật sẽ duy trì trạng thái chuyển động thẳng đều nhờ quán tính."
"Khi ô tô đang đứng yên mà đột ngột tăng tốc, hành khách trong xe sẽ có xu hướng chuyển động như thế nào?",Hành khách sẽ có xu hướng bị ngả người về phía sau.
Tại sao hành khách bị ngả người về phía sau khi ô tô tăng tốc đột ngột?,"Do quán tính, cơ thể hành khách có xu hướng bảo toàn trạng thái đứng yên ban đầu trong khi sàn xe và ghế đã chuyển động về phía trước."
Điều gì xảy ra với hành khách khi xe ô tô phanh gấp?,Hành khách sẽ bị chúi người về phía trước.
Giải thích hiện tượng hành khách bị chúi người về phía trước khi xe phanh gấp dựa trên khái niệm quán tính.,"Cơ thể hành khách có quán tính nên muốn duy trì vận tốc cũ; khi xe dừng lại đột ngột, phần thân trên chưa kịp dừng lại nên tiếp tục lao về phía trước."
"Khi xe ô tô rẽ nhanh sang trái, hành khách sẽ bị nghiêng về phía nào?",Hành khách sẽ bị nghiêng sang phía bên phải.
Tại sao hành khách bị nghiêng sang phải khi xe rẽ trái?,"Do quán tính, cơ thể hành khách có xu hướng duy trì hướng chuyển động thẳng cũ, trong khi xe đã thay đổi hướng sang trái."
